GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000049247	1	7903143	7913572	36	12	838503	0.94169	0.17318	UTS2
ENSG00000049249	1	7979907	8000926	40	5	838503	0.32862	0.37122	TNFRSF9
ENSG00000116288	1	8014351	8045565	59	9	838503	-0.018376	0.50733	PARK7
ENSG00000116285	1	8064464	8086368	30	6	838503	-0.36234	0.64145	ERRFI1
ENSG00000162426	1	8377886	8404227	74	12	838503	1.5142	0.064981	SLC45A1
ENSG00000142599	1	8412457	8877702	571	28	838503	2.6482	0.004046	RERE
ENSG00000074800	1	8921061	8939308	25	5	838503	-0.43424	0.66794	ENO1
ENSG00000131686	1	9005926	9035151	108	23	838503	-1.0653	0.85662	CA6
ENSG00000197241	1	9063359	9086404	53	14	838503	-0.33672	0.63184	SLC2A7
ENSG00000142583	1	9095166	9148537	172	25	838503	0.57786	0.28168	SLC2A5
ENSG00000180758	1	9160364	9189229	66	9	838503	0.91148	0.18102	GPR157
ENSG00000049239	1	9294834	9331396	73	14	838503	-0.22607	0.58943	H6PD
ENSG00000171621	1	9352939	9429591	283	50	838503	0.67606	0.2495	SPSB1
ENSG00000171612	1	9599541	9645237	35	3	838503	0.34467	0.36517	SLC25A33
ENSG00000188807	1	9648932	9674935	27	4	838503	0.30645	0.37963	TMEM201
ENSG00000171608	1	9711790	9789172	99	18	838503	2.659	0.003919	PIK3CD
ENSG00000179840	1	9712668	9714644	4	2	838503	2.0448	0.020438	C1orf200
ENSG00000171603	1	9789084	9884584	96	8	838503	1.9649	0.024714	CLSTN1
ENSG00000178585	1	9908334	9970394	75	10	838503	1.1864	0.11772	CTNNBIP1
ENSG00000162441	1	9982173	10003465	36	6	838503	0.98965	0.16117	LZIC
ENSG00000173614	1	10003486	10045559	65	8	838503	0.27163	0.39295	NMNAT1
ENSG00000162444	1	10057264	10076078	31	4	838503	-0.18771	0.57445	RBP7
ENSG00000130939	1	10092890	10241297	300	23	838503	0.16418	0.4348	UBE4B
ENSG00000054523	1	10270863	10441661	471	20	838503	-0.23556	0.59311	KIF1B
ENSG00000142657	1	10458649	10480201	38	5	838503	0.97407	0.16501	PGD
ENSG00000251503	1	10490159	10512210	46	5	838503	0.30001	0.38208	APITD1-CORT
ENSG00000175279	1	10490159	10512210	46	5	838503	0.30001	0.38208	APITD1
ENSG00000241563	1	10509776	10511959	3	1	838503	0.63247	0.26354	CORT
ENSG00000160049	1	10516579	10532583	20	5	838503	-0.54684	0.70775	DFFA
ENSG00000142655	1	10532345	10690815	341	29	838503	-0.80868	0.79065	PEX14
ENSG00000130940	1	10696661	10856707	267	51	838503	0.2343	0.40738	CASZ1
ENSG00000175262	1	11006528	11042094	97	11	838503	-0.42686	0.66526	C1orf127
ENSG00000120948	1	11072414	11085796	16	2	838503	-0.32896	0.62891	TARDBP
ENSG00000009724	1	11086580	11107290	40	5	838503	-0.8748	0.80916	MASP2
ENSG00000116649	1	11114641	11120081	6	2	838503	-0.75577	0.77511	SRM
ENSG00000171824	1	11126675	11159938	85	4	838503	-0.6099	0.72904	EXOSC10
ENSG00000198793	1	11166592	11322564	279	9	838503	-0.043976	0.51754	MTOR
ENSG00000171819	1	11249398	11256038	13	2	838503	0.30527	0.38008	ANGPTL7
ENSG00000120942	1	11333263	11356106	26	3	838503	-0.2226	0.58808	UBIAD1
ENSG00000204624	1	11539223	11597641	132	14	838503	0.51422	0.30355	PTCHD2
ENSG00000116661	1	11708424	11715842	8	3	838503	0.26276	0.39637	FBXO2
ENSG00000132879	1	11714432	11723384	16	5	838503	-0.89128	0.81361	FBXO44
ENSG00000116663	1	11724181	11734411	27	7	838503	0.25606	0.39895	FBXO6
ENSG00000116670	1	11734537	11751707	48	9	838503	0.22102	0.41254	MAD2L2
ENSG00000162490	1	11751786	11785914	53	12	838503	-0.55458	0.71041	DRAXIN
ENSG00000177674	1	11796141	11814859	45	6	838503	-0.37841	0.64744	AGTRAP
ENSG00000215910	1	11821844	11849642	135	10	838503	1.0185	0.15421	C1orf167
ENSG00000177000	1	11845780	11866977	79	11	838503	0.17847	0.42918	MTHFR
ENSG00000011021	1	11866207	11903201	169	13	838503	0.76743	0.22141	CLCN6
ENSG00000175206	1	11905766	11908402	11	3	838503	1.7989	0.036015	NPPA
ENSG00000120937	1	11917521	11918988	2	1	838503	-0.087993	0.53506	NPPB
ENSG00000116685	1	11979648	11986485	20	6	838503	-0.033402	0.51332	KIAA2013
ENSG00000083444	1	11994262	12035595	106	11	838503	-0.91977	0.82115	PLOD1
ENSG00000116688	1	12040238	12073571	74	8	838503	-1.1298	0.87072	MFN2
ENSG00000116691	1	12079523	12092102	21	4	838503	-0.065545	0.52613	MIIP
ENSG00000120949	1	12123434	12204264	136	22	838503	0.14776	0.44127	TNFRSF8
ENSG00000028137	1	12227060	12269285	96	10	838503	0.59757	0.27506	TNFRSF1B
ENSG00000048707	1	12290124	12572099	414	23	838503	0.97702	0.16428	VPS13D
ENSG00000162496	1	12627939	12677737	147	26	838503	-0.075837	0.53023	DHRS3
ENSG00000204518	1	12704566	12727097	40	3	838503	-0.27752	0.60931	AADACL4
ENSG00000188984	1	12776118	12788726	40	5	838503	1.1693	0.12113	AADACL3
ENSG00000157330	1	12806163	12823847	42	7	838503	1.6738	0.047087	C1orf158
ENSG00000116726	1	12834984	12838049	7	2	838503	0.3443	0.36531	PRAMEF12
ENSG00000162494	1	13801445	13840543	98	23	838503	-2.0437	0.97951	LRRC38
ENSG00000162493	1	13909960	13944452	84	19	838503	-0.67474	0.75008	PDPN
ENSG00000116731	1	14026693	14151574	306	26	838503	-0.021224	0.50847	PRDM2
ENSG00000189337	1	14925200	15444539	1559	199	838503	0.034043	0.48642	KAZN
ENSG00000171729	1	15479028	15546976	317	31	838503	-0.076797	0.53061	TMEM51
ENSG00000204464	1	15490840	15497813	25	7	838503	1.2211	0.11103	C1orf195
ENSG00000142621	1	15573768	15726779	386	44	838503	-0.2846	0.61202	FHAD1
ENSG00000142634	1	15736391	15756839	36	10	838503	0.48802	0.31277	EFHD2
ENSG00000162438	1	15764935	15775737	14	4	838503	0.3468	0.36437	CTRC
ENSG00000142615	1	15783223	15798586	51	8	838503	0.24922	0.40159	CELA2A
ENSG00000215704	1	15792404	15817895	61	9	838503	0.27845	0.39033	CELA2B
ENSG00000132906	1	15817327	15853029	112	6	838503	-0.24665	0.59741	CASP9
ENSG00000116138	1	15853308	15918874	176	11	838503	0.32029	0.37437	DNAJC16
ENSG00000116771	1	15898848	15911605	49	6	838503	0.17562	0.4303	AGMAT
ENSG00000197312	1	15943995	15995539	95	4	838503	1.5101	0.065507	DDI2
ENSG00000215695	1	15986364	15988217	2	1	838503	1.5261	0.063487	RSC1A1
ENSG00000116786	1	16010827	16061264	120	9	838503	0.66252	0.25382	PLEKHM2
ENSG00000162461	1	16062900	16067891	3	1	838503	0.9441	0.17256	SLC25A34
ENSG00000162460	1	16068917	16074477	13	3	838503	0.87548	0.19066	TMEM82
ENSG00000162458	1	16083102	16113089	49	6	838503	1.4992	0.066906	FBLIM1
ENSG00000065526	1	16174359	16266955	118	13	838503	1.9705	0.02439	SPEN
ENSG00000116809	1	16268364	16302627	47	10	838503	1.4364	0.075446	ZBTB17
ENSG00000183888	1	16330731	16335302	13	4	838503	1.757	0.039463	C1orf64
ENSG00000173641	1	16340523	16346089	44	5	838503	0.9735	0.16515	HSPB7
ENSG00000186510	1	16345370	16360545	78	10	838503	1.1452	0.12607	CLCNKA
ENSG00000184908	1	16370272	16383803	100	11	838503	0.03756	0.48502	CLCNKB
ENSG00000185519	1	16384264	16400127	39	6	838503	1.1082	0.13389	FAM131C
ENSG00000142627	1	16450832	16482582	43	8	838503	-1.6262	0.94805	EPHA2
ENSG00000142632	1	16524349	16539104	47	5	838503	0.35986	0.35948	ARHGEF19
ENSG00000204377	1	16555368	16556038	2	1	838503	-1.0679	0.85722	C1orf134
ENSG00000132881	1	16558195	16563657	10	4	838503	-2.3443	0.99047	RSG1
ENSG00000037637	1	16573334	16678949	182	9	838503	-0.52575	0.70047	FBXO42
ENSG00000055070	1	16679070	16724640	82	8	838503	-0.73091	0.76758	SZRD1
ENSG00000187144	1	16713612	16763919	104	16	838503	-1.6699	0.95253	SPATA21
ENSG00000157191	1	16767167	16786573	34	7	838503	-0.72335	0.76527	NECAP2
ENSG00000058453	1	17066768	17299474	44	6	838503	0.27062	0.39334	CROCC
ENSG00000117122	1	17300997	17307330	13	3	838503	2.5442	0.0054765	MFAP2
ENSG00000159363	1	17312453	17338423	50	10	838503	2.0522	0.020074	ATP13A2
ENSG00000117118	1	17345217	17380665	105	10	838503	0.58199	0.28029	SDHB
ENSG00000117115	1	17393256	17445948	210	12	838503	1.2389	0.1077	PADI2
ENSG00000142623	1	17531621	17572500	92	20	838503	0.21723	0.41401	PADI1
ENSG00000142619	1	17575593	17610728	155	23	838503	-0.050377	0.52009	PADI3
ENSG00000159339	1	17634690	17690499	259	21	838503	0.8149	0.20756	PADI4
ENSG00000269468	1	17655507	17676070	144	12	838503	0.36373	0.35803	AC004824.2
ENSG00000179051	1	17733256	17766220	56	7	838503	2.75	0.0029794	RCC2
ENSG00000074964	1	17866330	18024369	286	29	838503	0.095345	0.46202	ARHGEF10L
ENSG00000117148	1	18081808	18153558	133	14	838503	-1.2375	0.89205	ACTL8
ENSG00000117154	1	18434240	18704977	783	112	838503	0.90703	0.18219	IGSF21
ENSG00000179023	1	18807424	18812478	22	5	838503	-0.045191	0.51802	KLHDC7A
ENSG00000009709	1	18957500	19075360	233	40	838503	-0.53604	0.70403	PAX7
ENSG00000179002	1	19166093	19186176	84	14	838503	0.85713	0.19569	TAS1R2
ENSG00000255275	1	19175767	19247615	107	12	838503	-0.69588	0.75675	RP13-279N23.2
ENSG00000159423	1	19197926	19229275	60	6	838503	-0.60752	0.72825	ALDH4A1
ENSG00000169991	1	19230775	19283180	126	22	838503	-0.40314	0.65658	IFFO2
ENSG00000127481	1	19401000	19536770	274	26	838503	-1.2734	0.89856	UBR4
ENSG00000127463	1	19542158	19578046	104	13	838503	-1.7118	0.95653	EMC1
ENSG00000053372	1	19578033	19586622	49	8	838503	-1.4011	0.91941	MRTO4
ENSG00000162482	1	19609052	19615744	27	4	838503	-0.24292	0.59597	AKR7A3
ENSG00000053371	1	19630459	19638640	19	8	838503	-1.454	0.92703	AKR7A2
ENSG00000040487	1	19638820	19655794	75	10	838503	0.59615	0.27554	PQLC2
ENSG00000077549	1	19665267	19812066	485	36	838503	-0.043865	0.51749	CAPZB
ENSG00000270136	1	19923473	19984549	177	28	838503	-2.0404	0.97935	MINOS1-NBL1
ENSG00000173436	1	19923477	19956314	91	14	838503	-1.594	0.94453	MINOS1
ENSG00000158747	1	19967048	19984945	50	15	838503	-1.4293	0.92354	NBL1
ENSG00000158748	1	19991780	20006055	37	7	838503	-0.42295	0.66383	HTR6
ENSG00000162542	1	20008706	20126438	334	46	838503	-0.86272	0.80585	TMCO4
ENSG00000178828	1	20140523	20141771	1	1	838503	0.93304	0.1754	RNF186
ENSG00000169914	1	20209006	20239438	70	13	838503	-1.151	0.87513	OTUD3
ENSG00000188784	1	20246502	20250110	17	5	838503	-0.22834	0.59031	PLA2G2E
ENSG00000188257	1	20301925	20306932	14	6	838503	0.40283	0.34353	PLA2G2A
ENSG00000127472	1	20354672	20417683	195	24	838503	-1.2223	0.88921	PLA2G5
ENSG00000117215	1	20438432	20446050	12	6	838503	-1.3316	0.90851	PLA2G2D
ENSG00000158786	1	20465819	20476879	3	1	838503	-0.1223	0.54867	PLA2G2F
ENSG00000187980	1	20487746	20503917	48	10	838503	0.984	0.16256	PLA2G2C
ENSG00000162543	1	20512578	20522541	8	3	838503	1.6305	0.0515	UBXN10
ENSG00000158816	1	20617412	20681387	225	29	838503	-0.96119	0.83177	VWA5B1
ENSG00000162545	1	20808884	20812713	4	2	838503	-0.18898	0.57495	CAMK2N1
ENSG00000090432	1	20825943	20834654	25	9	838503	-0.20919	0.58285	MUL1
ENSG00000183114	1	20878932	20881512	3	1	838503	0.36953	0.35587	FAM43B
ENSG00000158825	1	20915441	20945401	111	18	838503	-1.1957	0.88409	CDA
ENSG00000158828	1	20959948	20978004	62	9	838503	-0.76535	0.77797	PINK1
ENSG00000244038	1	20978270	20988000	30	7	838503	-0.41074	0.65937	DDOST
ENSG00000117245	1	20990507	21044510	153	32	838503	1.189	0.11721	KIF17
ENSG00000189410	1	21046225	21059330	34	8	838503	-0.24443	0.59655	SH2D5
ENSG00000127483	1	21069154	21113816	79	11	838503	0.42616	0.335	HP1BP3
ENSG00000075151	1	21132963	21503377	547	18	838503	0.73508	0.23115	EIF4G3
ENSG00000117298	1	21543740	21671997	303	38	838503	-0.56448	0.71379	ECE1
ENSG00000142794	1	21766621	21811498	56	6	838503	-0.52503	0.70022	NBPF3
ENSG00000162551	1	21835858	21904905	276	34	838503	-0.80802	0.79046	ALPL
ENSG00000076864	1	21922708	21995801	243	48	838503	-0.60884	0.72868	RAP1GAP
ENSG00000090686	1	22004791	22110099	284	29	838503	1.3895	0.08234	USP48
ENSG00000187942	1	22138758	22151714	33	13	838503	0.73129	0.2323	LDLRAD2
ENSG00000142798	1	22148738	22263790	303	34	838503	1.2059	0.11394	HSPG2
ENSG00000219073	1	22303514	22325135	37	5	838503	-0.15369	0.56107	CELA3B
ENSG00000142789	1	22328149	22339032	1	1	838503	1.48	0.06944	CELA3A
ENSG00000070831	1	22379120	22419437	85	13	838503	0.34418	0.36535	CDC42
ENSG00000162552	1	22443798	22470462	76	13	838503	0.79979	0.21192	WNT4
ENSG00000184677	1	22778344	22857650	133	15	838503	-0.3473	0.63582	ZBTB40
ENSG00000070886	1	22890057	22930087	124	20	838503	-1.1639	0.87776	EPHA8
ENSG00000173372	1	22962999	22966101	6	3	838503	1.4258	0.076966	C1QA
ENSG00000159189	1	22970123	22974603	20	4	838503	1.3709	0.085197	C1QC
ENSG00000173369	1	22979255	22988031	26	6	838503	1.2097	0.11321	C1QB
ENSG00000133216	1	23037332	23241818	323	48	838503	-1.0827	0.86054	EPHB2
ENSG00000215906	1	23279536	23291831	29	6	838503	-0.21999	0.58706	LACTBL1
ENSG00000227868	1	23337327	23342343	8	2	838503	-0.77946	0.78215	C1orf234
ENSG00000004487	1	23345941	23410182	60	7	838503	-1.0019	0.84181	KDM1A
ENSG00000169641	1	23410516	23504301	129	13	838503	-1.1681	0.87862	LUZP1
ENSG00000179546	1	23516993	23521222	7	2	838503	-1.4484	0.92624	HTR1D
ENSG00000125944	1	23630264	23670829	27	4	838503	0.28657	0.38722	HNRNPR
ENSG00000125945	1	23685941	23695935	23	4	838503	0.59282	0.27665	ZNF436
ENSG00000249087	1	23695490	23698332	3	2	838503	0.82373	0.20505	C1orf213
ENSG00000204219	1	23707554	23751233	98	13	838503	1.108	0.13392	TCEA3
ENSG00000088280	1	23755056	23811061	93	12	838503	-0.8209	0.79415	ASAP3
ENSG00000007968	1	23832922	23857712	41	6	838503	-0.2707	0.60669	E2F2
ENSG00000117318	1	23884409	23886285	5	2	838503	-0.56605	0.71432	ID3
ENSG00000197880	1	23907985	23967058	70	14	838503	-1.0489	0.85289	MDS2
ENSG00000142676	1	24018269	24022915	8	2	838503	-1.2441	0.89327	RPL11
ENSG00000011007	1	24069645	24088549	12	6	838503	-0.29428	0.61573	TCEB3
ENSG00000057757	1	24104895	24114722	6	3	838503	-0.66615	0.74734	PITHD1
ENSG00000011009	1	24117460	24122029	2	1	838503	-0.77008	0.77937	LYPLA2
ENSG00000117308	1	24122089	24127271	1	1	838503	0.0050133	0.498	GALE
ENSG00000117305	1	24128375	24165110	36	2	838503	0.16981	0.43258	HMGCL
ENSG00000179163	1	24171567	24194784	33	3	838503	-1.0772	0.85931	FUCA1
ENSG00000188822	1	24197016	24285549	61	2	838503	-0.64043	0.73905	CNR2
ENSG00000188529	1	24291294	24307417	1	1	838503	-0.40674	0.6579	SRSF10
ENSG00000142661	1	24382525	24438665	167	20	838503	-0.98387	0.83741	MYOM3
ENSG00000142677	1	24446261	24469611	58	11	838503	-0.87026	0.80792	IL22RA1
ENSG00000185436	1	24480647	24514449	100	15	838503	-0.99013	0.83894	IFNLR1
ENSG00000158055	1	24645812	24690972	91	19	838503	-0.77596	0.78111	GRHL3
ENSG00000001460	1	24683489	24743424	157	18	838503	0.26791	0.39438	STPG1
ENSG00000001461	1	24742284	24799466	153	15	838503	0.37794	0.35274	NIPAL3
ENSG00000117602	1	24829387	24867530	105	13	838503	-0.38428	0.64961	RCAN3
ENSG00000184454	1	24882602	24935819	210	28	838503	-0.13162	0.55236	NCMAP
ENSG00000133226	1	24958207	24999758	37	7	838503	0.79788	0.21247	SRRM1
ENSG00000169504	1	25071848	25170815	77	7	838503	-0.15949	0.56336	CLIC4
ENSG00000020633	1	25226002	25291612	95	17	838503	0.29119	0.38545	RUNX3
ENSG00000117614	1	25549170	25558993	3	1	838503	0.35298	0.36205	SYF2
ENSG00000117616	1	25568728	25664704	8	3	838503	1.5366	0.062192	C1orf63
ENSG00000183726	1	25664408	25688852	13	2	838503	1.7891	0.0368	TMEM50A
ENSG00000188672	1	25688740	25756683	60	1	838503	1.8463	0.032423	RHCE
ENSG00000204178	1	25757388	25826700	49	1	838503	1.7401	0.040924	TMEM57
ENSG00000157978	1	25870071	25895377	23	2	838503	-0.25374	0.60015	LDLRAP1
ENSG00000117643	1	25943959	26112698	222	23	838503	-0.3572	0.63953	MAN1C1
ENSG00000162430	1	26126667	26144713	33	3	838503	-0.41829	0.66213	SEPN1
ENSG00000255054	1	26137961	26150235	26	2	838503	0.11829	0.45292	RP1-317E23.6
ENSG00000117640	1	26145131	26159432	28	2	838503	0.30932	0.37854	MTFR1L
ENSG00000223474	1	26145212	26147288	5	2	838503	-0.027202	0.51085	AL020996.1
ENSG00000127423	1	26158414	26185903	55	2	838503	0.30555	0.37997	AUNIP
ENSG00000182749	1	26187701	26197744	5	1	838503	0.60212	0.27355	PAQR7
ENSG00000117632	1	26210672	26233482	18	2	838503	-0.1848	0.57331	STMN1
ENSG00000158006	1	26286258	26324648	72	4	838503	-0.2036	0.58067	PAFAH2
ENSG00000158008	1	26346375	26362955	20	5	838503	-0.39014	0.65178	EXTL1
ENSG00000158014	1	26363743	26372624	14	3	838503	-0.61319	0.73012	SLC30A2
ENSG00000158022	1	26377795	26394927	37	4	838503	1.8152	0.034745	TRIM63
ENSG00000175087	1	26437664	26452034	23	1	838503	1.9435	0.025976	PDIK1L
ENSG00000197245	1	26485511	26489119	7	3	838503	-1.5368	0.93783	FAM110D
ENSG00000142684	1	26496362	26498551	7	3	838503	-0.28401	0.6118	ZNF593
ENSG00000142675	1	26503894	26516377	28	8	838503	0.73021	0.23263	CNKSR1
ENSG00000188782	1	26517052	26529459	58	10	838503	0.14971	0.4405	CATSPER4
ENSG00000130695	1	26560691	26605299	121	10	838503	-0.32509	0.62744	CEP85
ENSG00000142669	1	26605667	26608007	5	2	838503	0.25453	0.39954	SH3BGRL3
ENSG00000158062	1	26607819	26644854	117	10	838503	-0.54967	0.70873	UBXN11
ENSG00000169442	1	26644448	26647014	10	3	838503	-0.90551	0.8174	CD52
ENSG00000176092	1	26648350	26680621	85	11	838503	0.71759	0.23651	AIM1L
ENSG00000176083	1	26688125	26701013	48	9	838503	-0.24072	0.59511	ZNF683
ENSG00000131914	1	26737269	26756213	32	10	838503	0.51611	0.30289	LIN28A
ENSG00000117682	1	26758773	26797785	47	10	838503	0.47349	0.31793	DHDDS
ENSG00000198830	1	26798941	26802463	4	2	838503	0.73712	0.23052	HMGN2
ENSG00000117676	1	26856252	26901521	85	10	838503	0.002077	0.49917	RPS6KA1
ENSG00000117713	1	27022524	27108595	93	5	838503	0.33814	0.36763	ARID1A
