#HSPC_H3K27Ac_peaks Enhancers
#Created from /broad/sankaranlab/xliao/MPN/HSPC_H3K27Ac/Jianxu/rose_o/HSPC_H3K27Ac_peaks_12KB_STITCHED_TSS_DISTAL_ENHANCER_REGION_MAP.txt
#Ranked by HSPC_H3K27Ac.no_duplicates.bam
#Using cutoff of 9730.1403 for Super-Enhancers
#Created on Sep 29 2019 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	HSPC_H3K27Ac.no_duplicates.bam	enhancerRank	isSuper
10_HSPC_H3K27Ac_peak_20871_lociStitched	chr14	93115860	93142903	10	5283	53753.3711	28	1
17_HSPC_H3K27Ac_peak_29070_lociStitched	chr17	57861695	57936782	17	7531	53619.6267	29	1
15_HSPC_H3K27Ac_peak_8351_lociStitched	chr10	49664324	49732125	15	8438	53264.4656	30	1
10_HSPC_H3K27Ac_peak_21304_lociStitched	chr14	106345335	106376198	10	6203	52380.6836	31	1
15_HSPC_H3K27Ac_peak_3675_lociStitched	chr1	120524143	120575044	15	6346	52132.8042	32	1
14_HSPC_H3K27Ac_peak_8821_lociStitched	chr10	74042192	74095345	14	6180	51138.5013	33	1
14_HSPC_H3K27Ac_peak_12539_lociStitched	chr11	72863977	72917479	14	7394	51126.5112	34	1
12_HSPC_H3K27Ac_peak_33529_lociStitched	chr19	39142367	39185995	12	5686	51105.8392	35	1
12_HSPC_H3K27Ac_peak_36715_lociStitched	chr2	70321367	70370981	12	9539	50740.2378	36	1
10_HSPC_H3K27Ac_peak_28913_lociStitched	chr17	55518535	55565145	10	5269	50567.189	37	1
13_HSPC_H3K27Ac_peak_49247_lociStitched	chr3	195886547	195948014	13	8214	49935.7908	38	1
13_HSPC_H3K27Ac_peak_29618_lociStitched	chr17	73291354	73343140	13	6620	49828.4892	39	1
9_HSPC_H3K27Ac_peak_14475_lociStitched	chr12	11948915	11975373	9	4342	49463.231	40	1
14_HSPC_H3K27Ac_peak_55620_lociStitched	chr6	2783009	2822021	14	7393	49217.5392	41	1
14_HSPC_H3K27Ac_peak_48591_lociStitched	chr3	171668383	171718586	14	5804	48596.504	42	1
10_HSPC_H3K27Ac_peak_59809_lociStitched	chr7	5452660	5481844	10	5523	48480.4608	43	1
14_HSPC_H3K27Ac_peak_59060_lociStitched	chr6	147176729	147236995	14	6706	47742.7252	44	1
16_HSPC_H3K27Ac_peak_2622_lociStitched	chr1	66815528	66911937	16	9861	47201.8464	45	1
11_HSPC_H3K27Ac_peak_23778_lociStitched	chr15	101655907	101715702	11	7793	46843.403	46	1
9_HSPC_H3K27Ac_peak_32989_lociStitched	chr19	18400939	18439894	9	6831	46492.7925	47	1
8_HSPC_H3K27Ac_peak_54818_lociStitched	chr5	150142241	150181281	8	6006	46406.848	48	1
15_HSPC_H3K27Ac_peak_23493_lociStitched	chr15	91351918	91415697	15	9365	45755.0546	49	1
7_HSPC_H3K27Ac_peak_55111_lociStitched	chr5	169694256	169730835	7	5412	45101.907	50	1
5_HSPC_H3K27Ac_peak_14153_lociStitched	chr12	6432680	6457434	5	3534	44693.347	51	1
11_HSPC_H3K27Ac_peak_42881_lociStitched	chr21	40355739	40389684	11	4902	44315.1975	52	1
10_HSPC_H3K27Ac_peak_61622_lociStitched	chr7	92250641	92287439	10	3503	43918.413	53	1
7_HSPC_H3K27Ac_peak_9072_lociStitched	chr10	80892053	80919167	7	3607	43813.5126	54	1
12_HSPC_H3K27Ac_peak_33286_lociStitched	chr19	33740078	33785183	12	8887	43769.892	55	1
10_HSPC_H3K27Ac_peak_54309_lociStitched	chr5	134695701	134727875	10	4504	43254.7256	56	1
11_HSPC_H3K27Ac_peak_40620_lociStitched	chr20	4032449	4072417	11	6424	43021.5552	57	1
16_HSPC_H3K27Ac_peak_50232_lociStitched	chr4	49093634	49158665	16	4493	42913.9569	58	1
10_HSPC_H3K27Ac_peak_49287_lociStitched	chr3	196336565	196361043	10	5564	42550.1074	59	1
13_HSPC_H3K27Ac_peak_27671_lociStitched	chr17	27451532	27482478	13	6762	42343.4118	60	1
8_HSPC_H3K27Ac_peak_31911_lociStitched	chr19	3125368	3165893	8	5026	42328.3625	61	1
15_HSPC_H3K27Ac_peak_36482_lociStitched	chr2	65038885	65092725	15	6737	42167.488	62	1
12_HSPC_H3K27Ac_peak_17101_lociStitched	chr12	122057598	122111269	12	6740	41890.2155	63	1
9_HSPC_H3K27Ac_peak_32542_lociStitched	chr19	12888727	12905068	9	5049	41788.8393	64	1
9_HSPC_H3K27Ac_peak_70239_lociStitched	chrX	65206387	65235723	9	5386	41756.8624	65	1
16_HSPC_H3K27Ac_peak_40984_lociStitched	chr20	20713805	20767914	16	8152	41739.6826	66	1
7_HSPC_H3K27Ac_peak_22890_lociStitched	chr15	75068958	75092410	7	5083	41697.656	67	1
10_HSPC_H3K27Ac_peak_65671_lociStitched	chr8	134497318	134551712	10	6003	41426.4704	68	1
5_HSPC_H3K27Ac_peak_28977_lociStitched	chr17	56350683	56363204	5	3213	41296.7622	69	1
9_HSPC_H3K27Ac_peak_55828_lociStitched	chr6	7130161	7166529	9	5172	41194.0336	70	1
11_HSPC_H3K27Ac_peak_68027_lociStitched	chr9	117126745	117160742	11	5834	41149.9688	71	1
10_HSPC_H3K27Ac_peak_34956_lociStitched	chr2	8655144	8685790	10	6063	40835.795	72	1
6_HSPC_H3K27Ac_peak_11489_lociStitched	chr11	47409974	47422734	6	4294	40817.964	73	1
11_HSPC_H3K27Ac_peak_69268_lociStitched	chrUn_gl000226	1	14937	11	3406	40634.8816	74	1
14_HSPC_H3K27Ac_peak_13598_lociStitched	chr11	122586513	122627666	14	6210	40432.8225	75	1
13_HSPC_H3K27Ac_peak_16961_lociStitched	chr12	118726469	118797404	13	5025	40418.763	76	1
14_HSPC_H3K27Ac_peak_61337_lociStitched	chr7	75226431	75280597	14	6942	40218.255	77	1
12_HSPC_H3K27Ac_peak_15938_lociStitched	chr12	68757061	68811632	12	6189	39765.8877	78	1
8_HSPC_H3K27Ac_peak_57116_lociStitched	chr6	35658944	35700410	8	5458	39392.7	79	1
10_HSPC_H3K27Ac_peak_32597_lociStitched	chr19	13250386	13293234	10	6633	39347.3184	80	1
17_HSPC_H3K27Ac_peak_12856_lociStitched	chr11	85845475	85914060	17	7789	39326.639	81	1
11_HSPC_H3K27Ac_peak_36959_lociStitched	chr2	85632362	85680897	11	5795	39119.21	82	1
18_HSPC_H3K27Ac_peak_48185_lociStitched	chr3	151909991	151976443	18	6114	38907.646	83	1
11_HSPC_H3K27Ac_peak_24584_lociStitched	chr16	17435624	17477487	11	4994	38857.2366	84	1
11_HSPC_H3K27Ac_peak_13713_lociStitched	chr11	126235598	126270448	11	4435	38547.585	85	1
13_HSPC_H3K27Ac_peak_56113_lociStitched	chr6	14897595	14933373	13	7346	38210.904	86	1
10_HSPC_H3K27Ac_peak_67326_lociStitched	chr9	91989984	92037854	10	4448	38200.26	87	1
10_HSPC_H3K27Ac_peak_47565_lociStitched	chr3	128303499	128337340	10	5031	38060.9727	88	1
5_HSPC_H3K27Ac_peak_32789_lociStitched	chr19	16249473	16261378	5	2695	37844.8045	89	1
9_HSPC_H3K27Ac_peak_13286_lociStitched	chr11	113945339	113982558	9	3369	37807.0602	90	1
18_HSPC_H3K27Ac_peak_54689_lociStitched	chr5	148126888	148197433	18	7157	37346.523	91	1
9_HSPC_H3K27Ac_peak_53958_lociStitched	chr5	118639997	118682039	9	4201	37333.296	92	1
14_HSPC_H3K27Ac_peak_69000_lociStitched	chr9	139405554	139459173	14	7658	37120.4337	93	1
7_HSPC_H3K27Ac_peak_65566_lociStitched	chr8	130676529	130703547	7	4520	36801.2178	94	1
11_HSPC_H3K27Ac_peak_37726_lociStitched	chr2	112166540	112197193	11	4432	36510.7883	95	1
5_HSPC_H3K27Ac_peak_25573_lociStitched	chr16	57709923	57735406	5	3877	36399.9172	96	1
8_HSPC_H3K27Ac_peak_54443_lociStitched	chr5	138838138	138875763	8	5296	36251.6875	97	1
14_HSPC_H3K27Ac_peak_41213_lociStitched	chr20	31116124	31172609	14	5499	36240.776	98	1
7_HSPC_H3K27Ac_peak_42693_lociStitched	chr21	36279122	36315436	7	3993	36157.8498	99	1
9_HSPC_H3K27Ac_peak_46753_lociStitched	chr3	71465255	71505866	9	3353	36095.0568	100	1
13_HSPC_H3K27Ac_peak_22049_lociStitched	chr15	50344452	50382135	13	4977	35761.167	101	1
8_HSPC_H3K27Ac_peak_12084_lociStitched	chr11	65239100	65268232	8	5287	35666.3076	102	1
7_HSPC_H3K27Ac_peak_25044_lociStitched	chr16	29652690	29677578	7	4800	35574.9072	103	1
9_HSPC_H3K27Ac_peak_40131_lociStitched	chr2	233940101	233965598	9	4137	35425.5318	104	1
12_HSPC_H3K27Ac_peak_24372_lociStitched	chr16	11691165	11734068	12	6408	35128.9764	105	1
19_HSPC_H3K27Ac_peak_26161_lociStitched	chr16	81719536	81790589	19	8243	34752.0223	106	1
10_HSPC_H3K27Ac_peak_31814_lociStitched	chr19	2056246	2090527	10	4293	34743.7935	107	1
8_HSPC_H3K27Ac_peak_65556_lociStitched	chr8	130587557	130606351	8	4679	34708.7592	108	1
11_HSPC_H3K27Ac_peak_6708_lociStitched	chr1	234610774	234668356	11	5690	34457.0688	109	1
9_HSPC_H3K27Ac_peak_4906_lociStitched	chr1	167570911	167620290	9	6961	34036.9447	110	1
6_HSPC_H3K27Ac_peak_25787_lociStitched	chr16	68098032	68125856	6	4289	34025.9696	111	1
6_HSPC_H3K27Ac_peak_4470_lociStitched	chr1	156460275	156475681	6	4011	34022.6104	112	1
6_HSPC_H3K27Ac_peak_39774_lociStitched	chr2	219252496	219272770	6	4361	33991.3884	113	1
9_HSPC_H3K27Ac_peak_57079_lociStitched	chr6	34997808	35018794	9	3824	33974.2354	114	1
11_HSPC_H3K27Ac_peak_22925_lociStitched	chr15	75321285	75365559	11	4394	33927.1662	115	1
7_HSPC_H3K27Ac_peak_58683_lociStitched	chr6	135504356	135531960	7	3055	33856.306	116	1
10_HSPC_H3K27Ac_peak_67337_lociStitched	chr9	92069932	92124391	10	5192	33819.039	117	1
10_HSPC_H3K27Ac_peak_64995_lociStitched	chr8	103780251	103822870	10	5201	33796.867	118	1
9_HSPC_H3K27Ac_peak_61866_lociStitched	chr7	101360686	101398284	9	4949	33657.7296	119	1
7_HSPC_H3K27Ac_peak_45599_lociStitched	chr3	32442700	32474344	7	4421	33593.2704	120	1
4_HSPC_H3K27Ac_peak_1130_lociStitched	chr1	26602379	26617776	4	3755	33500.7926	121	1
9_HSPC_H3K27Ac_peak_36027_lociStitched	chr2	47194790	47213881	9	4681	33363.4316	122	1
4_HSPC_H3K27Ac_peak_6721_lociStitched	chr1	234734485	234748064	4	3479	33344.5924	123	1
4_HSPC_H3K27Ac_peak_12077_lociStitched	chr11	65185121	65197671	4	2520	33306.445	124	1
7_HSPC_H3K27Ac_peak_11442_lociStitched	chr11	46680170	46707267	7	4225	33242.5996	125	1
9_HSPC_H3K27Ac_peak_60999_lociStitched	chr7	61967189	61988811	9	3613	33239.5006	126	1
13_HSPC_H3K27Ac_peak_45729_lociStitched	chr3	37934451	37999377	13	4559	33164.2008	127	1
11_HSPC_H3K27Ac_peak_6759_lociStitched	chr1	234974247	235012764	11	4752	33140.0268	128	1
8_HSPC_H3K27Ac_peak_47667_lociStitched	chr3	129295847	129319084	8	4911	33128.9909	129	1
11_HSPC_H3K27Ac_peak_6578_lociStitched	chr1	230281154	230327968	11	4447	33088.1352	130	1
12_HSPC_H3K27Ac_peak_43265_lociStitched	chr22	17556189	17599368	12	5985	32859.219	131	1
12_HSPC_H3K27Ac_peak_45211_lociStitched	chr3	14432879	14476424	12	6464	32754.549	132	1
6_HSPC_H3K27Ac_peak_26443_lociStitched	chr16	88856577	88867136	6	3561	32754.018	133	1
11_HSPC_H3K27Ac_peak_40080_lociStitched	chr2	232526706	232558262	11	5825	32392.234	134	1
9_HSPC_H3K27Ac_peak_52702_lociStitched	chr5	42982509	43010495	9	6107	32144.7196	135	1
10_HSPC_H3K27Ac_peak_65546_lociStitched	chr8	130547526	130569525	10	3600	31988.7459	136	1
10_HSPC_H3K27Ac_peak_10485_lociStitched	chr11	1772002	1814105	10	5886	31922.4946	137	1
11_HSPC_H3K27Ac_peak_14489_lociStitched	chr12	12008176	12044990	11	4038	31520.1468	138	1
12_HSPC_H3K27Ac_peak_17325_lociStitched	chr12	125390999	125431373	12	6870	31213.1394	139	1
8_HSPC_H3K27Ac_peak_41828_lociStitched	chr20	48383280	48411350	8	4366	30907.877	140	1
7_HSPC_H3K27Ac_peak_11344_lociStitched	chr11	44578602	44601067	7	4847	30862.417	141	1
8_HSPC_H3K27Ac_peak_43792_lociStitched	chr22	29205054	29226084	8	2923	30525.045	142	1
14_HSPC_H3K27Ac_peak_20252_lociStitched	chr14	70139397	70194215	14	5999	30374.6538	143	1
1_HSPC_H3K27Ac_peak_57728_lociStitched	chr6	58776226	58779611	1	3386	30234.82	144	1
15_HSPC_H3K27Ac_peak_58761_lociStitched	chr6	137058833	137106970	15	6036	30191.5264	145	1
4_HSPC_H3K27Ac_peak_32268_lociStitched	chr19	8551522	8571075	4	4234	30138.9942	146	1
17_HSPC_H3K27Ac_peak_60630_lociStitched	chr7	38374319	38410096	17	5656	30102.7678	147	1
8_HSPC_H3K27Ac_peak_44934_lociStitched	chr3	5007507	5054293	8	5521	30060.005	148	1
10_HSPC_H3K27Ac_peak_1732_lociStitched	chr1	39649193	39681435	10	4907	30039.8714	149	1
12_HSPC_H3K27Ac_peak_12772_lociStitched	chr11	78029599	78089202	12	5405	30022.0311	150	1
8_HSPC_H3K27Ac_peak_31337_lociStitched	chr18	60758561	60781572	8	4734	30015.5484	151	1
9_HSPC_H3K27Ac_peak_45356_lociStitched	chr3	18004992	18036829	9	3027	29920.4126	152	1
7_HSPC_H3K27Ac_peak_20361_lociStitched	chr14	74208609	74221981	7	4011	29887.7572	153	1
9_HSPC_H3K27Ac_peak_32108_lociStitched	chr19	6056521	6100766	9	5069	29776.885	154	1
14_HSPC_H3K27Ac_peak_20447_lociStitched	chr14	75725228	75769208	14	5629	29765.664	155	1
10_HSPC_H3K27Ac_peak_65098_lociStitched	chr8	108318228	108357309	10	3616	29654.6628	156	1
12_HSPC_H3K27Ac_peak_550_lociStitched	chr1	12192575	12245028	12	5792	29604.4732	157	1
12_HSPC_H3K27Ac_peak_2011_lociStitched	chr1	44873507	44899564	12	4770	29493.9183	158	1
4_HSPC_H3K27Ac_peak_8776_lociStitched	chr10	73506632	73517496	4	3367	29394.7248	159	1
9_HSPC_H3K27Ac_peak_26128_lociStitched	chr16	81491113	81532004	9	4061	29363.8271	160	1
10_HSPC_H3K27Ac_peak_8408_lociStitched	chr10	51488678	51518154	10	5502	29287.3536	161	1
8_HSPC_H3K27Ac_peak_63093_lociStitched	chr7	157092001	157113539	8	4209	29265.8344	162	1
11_HSPC_H3K27Ac_peak_37551_lociStitched	chr2	106392617	106417772	11	4021	29255.265	163	1
8_HSPC_H3K27Ac_peak_68734_lociStitched	chr9	134127521	134145866	8	3090	28928.2305	164	1
7_HSPC_H3K27Ac_peak_1260_lociStitched	chr1	28185192	28213027	7	3984	28834.2765	165	1
11_HSPC_H3K27Ac_peak_69224_lociStitched	chrUn_gl000220	141570	161755	11	3575	28806.0135	166	1
12_HSPC_H3K27Ac_peak_52620_lociStitched	chr5	39164491	39239089	12	6613	28705.3104	167	1
6_HSPC_H3K27Ac_peak_41235_lociStitched	chr20	31251798	31274029	6	4757	28626.8587	168	1
12_HSPC_H3K27Ac_peak_23575_lociStitched	chr15	93345558	93388542	12	6081	28614.4488	169	1
6_HSPC_H3K27Ac_peak_6829_lociStitched	chr1	236096756	236119193	6	3105	28609.4187	170	1
5_HSPC_H3K27Ac_peak_52164_lociStitched	chr5	391886	400624	5	3702	28608.212	171	1
8_HSPC_H3K27Ac_peak_57206_lociStitched	chr6	37006665	37052258	8	4535	28586.811	172	1
10_HSPC_H3K27Ac_peak_67347_lociStitched	chr9	92137167	92171996	10	4641	28486.6391	173	1
9_HSPC_H3K27Ac_peak_13544_lociStitched	chr11	121443416	121462038	9	4831	28391.1012	174	1
12_HSPC_H3K27Ac_peak_25416_lociStitched	chr16	50717429	50765510	12	4712	28382.2143	175	1
7_HSPC_H3K27Ac_peak_20079_lociStitched	chr14	65486980	65522172	7	3730	28153.6	176	1
13_HSPC_H3K27Ac_peak_26589_lociStitched	chr17	397838	442618	13	4595	28077.06	177	1
13_HSPC_H3K27Ac_peak_45992_lociStitched	chr3	45671848	45719290	13	6793	28071.4314	178	1
8_HSPC_H3K27Ac_peak_24526_lociStitched	chr16	16155028	16183624	8	3998	28046.9568	179	1
9_HSPC_H3K27Ac_peak_32814_lociStitched	chr19	16546446	16569612	9	3562	27947.4624	180	1
7_HSPC_H3K27Ac_peak_16932_lociStitched	chr12	117500372	117515460	7	3326	27945.9936	181	1
9_HSPC_H3K27Ac_peak_25108_lociStitched	chr16	30195486	30221698	9	5504	27941.992	182	1
11_HSPC_H3K27Ac_peak_22566_lociStitched	chr15	66905749	66947238	11	5261	27897.2036	183	1
7_HSPC_H3K27Ac_peak_65638_lociStitched	chr8	134074762	134106116	7	5187	27785.9148	184	1
7_HSPC_H3K27Ac_peak_30352_lociStitched	chr18	3585549	3606498	7	4945	27654.7749	185	1
11_HSPC_H3K27Ac_peak_56147_lociStitched	chr6	15282066	15308644	11	4238	27638.4622	186	1
5_HSPC_H3K27Ac_peak_2145_lociStitched	chr1	47677232	47703396	5	2751	27566.3904	187	1
4_HSPC_H3K27Ac_peak_42109_lociStitched	chr20	58620577	58634342	4	4472	27536.8825	188	1
9_HSPC_H3K27Ac_peak_10503_lociStitched	chr11	1902058	1934103	9	6206	27465.7695	189	1
7_HSPC_H3K27Ac_peak_54461_lociStitched	chr5	139039400	139050944	7	3745	27412.3824	190	1
12_HSPC_H3K27Ac_peak_29233_lociStitched	chr17	62137553	62196103	12	4325	27377.98	191	1
18_HSPC_H3K27Ac_peak_30490_lociStitched	chr18	9721951	9782412	18	7456	27340.4642	192	1
15_HSPC_H3K27Ac_peak_3700_lociStitched	chr1	120634773	120695757	15	6783	27046.404	193	1
8_HSPC_H3K27Ac_peak_57227_lociStitched	chr6	37145778	37160337	8	2453	27015.6804	194	1
8_HSPC_H3K27Ac_peak_29839_lociStitched	chr17	76250190	76274488	8	4333	26681.6338	195	1
10_HSPC_H3K27Ac_peak_40058_lociStitched	chr2	232213144	232277078	10	4879	26634.9044	196	1
10_HSPC_H3K27Ac_peak_28202_lociStitched	chr17	38478398	38509647	10	3945	26621.0231	197	1
8_HSPC_H3K27Ac_peak_38306_lociStitched	chr2	145266749	145281445	8	3424	26538.0368	198	1
2_HSPC_H3K27Ac_peak_52146_lociStitched	chr5	9947	21694	2	2148	26467.1657	199	1
11_HSPC_H3K27Ac_peak_36876_lociStitched	chr2	74789270	74814907	11	4405	26377.9093	200	1
9_HSPC_H3K27Ac_peak_20947_lociStitched	chr14	95961600	95993666	9	5011	26332.5992	201	1
12_HSPC_H3K27Ac_peak_69591_lociStitched	chrX	19845098	19897714	12	5198	26292.2152	202	1
12_HSPC_H3K27Ac_peak_1867_lociStitched	chr1	42174925	42237741	12	5825	26231.9616	203	1
6_HSPC_H3K27Ac_peak_46022_lociStitched	chr3	46130598	46150910	6	3138	26186.2304	204	1
6_HSPC_H3K27Ac_peak_20858_lociStitched	chr14	92985750	93016308	6	6994	26124.0342	205	1
11_HSPC_H3K27Ac_peak_48169_lociStitched	chr3	151569926	151621834	11	5116	26057.816	206	1
13_HSPC_H3K27Ac_peak_37101_lociStitched	chr2	87871903	87903974	13	6305	26015.9952	207	1
17_HSPC_H3K27Ac_peak_42011_lociStitched	chr20	52523533	52566908	17	5997	25959.9375	208	1
13_HSPC_H3K27Ac_peak_37713_lociStitched	chr2	112103821	112136060	13	6406	25933.0516	209	1
7_HSPC_H3K27Ac_peak_49238_lociStitched	chr3	195823393	195855021	7	4232	25912.8204	210	1
7_HSPC_H3K27Ac_peak_60906_lociStitched	chr7	50411970	50431296	7	2555	25887.177	211	1
11_HSPC_H3K27Ac_peak_12763_lociStitched	chr11	77955289	78004576	11	4857	25880.6037	212	1
6_HSPC_H3K27Ac_peak_46308_lociStitched	chr3	50628094	50640031	6	3894	25877.0286	213	1
14_HSPC_H3K27Ac_peak_20811_lociStitched	chr14	91826889	91877848	14	4721	25805.6376	214	1
13_HSPC_H3K27Ac_peak_68675_lociStitched	chr9	132685597	132725414	13	4809	25769.5624	215	1
7_HSPC_H3K27Ac_peak_57467_lociStitched	chr6	43758027	43775236	7	2654	25763.5939	216	1
10_HSPC_H3K27Ac_peak_49188_lociStitched	chr3	194870095	194886195	10	4272	25714.92	217	1
10_HSPC_H3K27Ac_peak_150_lociStitched	chr1	2210370	2247417	10	5312	25669.8663	218	1
7_HSPC_H3K27Ac_peak_10045_lociStitched	chr10	120889881	120898943	7	3004	25659.9592	219	1
11_HSPC_H3K27Ac_peak_18859_lociStitched	chr13	99923541	99975008	11	4078	25579.099	220	1
11_HSPC_H3K27Ac_peak_68620_lociStitched	chr9	132221046	132260176	11	6328	25555.803	221	1
8_HSPC_H3K27Ac_peak_25396_lociStitched	chr16	50299618	50317134	8	4160	25519.0604	222	1
12_HSPC_H3K27Ac_peak_4639_lociStitched	chr1	160499502	160545736	12	5867	25461.0638	223	1
11_HSPC_H3K27Ac_peak_49802_lociStitched	chr4	16033234	16072535	11	4420	25459.1878	224	1
14_HSPC_H3K27Ac_peak_27140_lociStitched	chr17	10010631	10061319	14	6785	25414.9632	225	1
7_HSPC_H3K27Ac_peak_31693_lociStitched	chr19	1074476	1113848	7	5214	25383.1284	226	1
7_HSPC_H3K27Ac_peak_4038_lociStitched	chr1	149740190	149764557	7	4654	25239.3386	227	1
14_HSPC_H3K27Ac_peak_65587_lociStitched	chr8	130969261	131029298	14	6560	25197.5289	228	1
10_HSPC_H3K27Ac_peak_23190_lociStitched	chr15	81558380	81604908	10	5322	25171.648	229	1
8_HSPC_H3K27Ac_peak_53418_lociStitched	chr5	77770098	77807489	8	3498	25160.4039	230	1
12_HSPC_H3K27Ac_peak_5918_lociStitched	chr1	206226796	206282126	12	3968	25147.485	231	1
6_HSPC_H3K27Ac_peak_42817_lociStitched	chr21	39747640	39759656	6	3913	25055.7632	232	1
12_HSPC_H3K27Ac_peak_3820_lociStitched	chr1	145127637	145159840	12	6130	25041.0528	233	1
8_HSPC_H3K27Ac_peak_9144_lociStitched	chr10	82245251	82265188	8	3432	24951.1555	234	1
7_HSPC_H3K27Ac_peak_58889_lociStitched	chr6	139946296	139970213	7	4182	24947.8227	235	1
13_HSPC_H3K27Ac_peak_47898_lociStitched	chr3	138581320	138635162	13	5738	24735.0148	236	1
14_HSPC_H3K27Ac_peak_23372_lociStitched	chr15	89637789	89687593	14	3696	24662.9408	237	1
6_HSPC_H3K27Ac_peak_26297_lociStitched	chr16	85603175	85617555	6	2724	24648.758	238	1
12_HSPC_H3K27Ac_peak_39233_lociStitched	chr2	196398772	196445203	12	5212	24617.7162	239	1
10_HSPC_H3K27Ac_peak_3290_lociStitched	chr1	108456742	108496436	10	3937	24562.6472	240	1
7_HSPC_H3K27Ac_peak_68818_lociStitched	chr9	135858226	135880810	7	4617	24528.4824	241	1
9_HSPC_H3K27Ac_peak_32679_lociStitched	chr19	14466295	14495235	9	5631	24431.148	242	1
5_HSPC_H3K27Ac_peak_12633_lociStitched	chr11	75039468	75053094	5	2926	24341.4864	243	1
11_HSPC_H3K27Ac_peak_68166_lociStitched	chr9	124033740	124059194	11	4187	24326.3878	244	1
10_HSPC_H3K27Ac_peak_67395_lociStitched	chr9	93909414	93956664	10	4475	24286.5	245	1
11_HSPC_H3K27Ac_peak_11199_lociStitched	chr11	34430261	34454327	11	3884	24280.1874	246	1
9_HSPC_H3K27Ac_peak_33672_lociStitched	chr19	41316372	41350743	9	6460	24145.6275	247	1
10_HSPC_H3K27Ac_peak_50636_lociStitched	chr4	79551169	79589362	10	4100	24019.5777	248	1
8_HSPC_H3K27Ac_peak_24801_lociStitched	chr16	23864310	23893856	8	3146	24014.9888	249	1
5_HSPC_H3K27Ac_peak_67877_lociStitched	chr9	112905202	112920837	5	2581	24013.7965	250	1
